effectiveDate,product,pricePkr,unit,source,downloadId
2015-07-01,Superior Kerosene Oil (SKO),64.94,litre,ogra,994
2015-08-01,Superior Kerosene Oil (SKO),60.11,litre,ogra,993
2015-09-01,Superior Kerosene Oil (SKO),57.11,litre,ogra,992
2015-10-01,Superior Kerosene Oil (SKO),57.11,litre,ogra,991
2015-11-01,Superior Kerosene Oil (SKO),57.11,litre,ogra,990
2015-12-01,Superior Kerosene Oil (SKO),56.32,litre,ogra,989
2016-04-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,985
2016-05-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,984
2016-06-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,983
2016-07-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,982
2016-08-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,980
2016-09-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,981
2016-10-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,979
2016-11-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,978
2016-12-01,Superior Kerosene Oil (SKO),43.25,litre,ogra,977
2017-01-16,Superior Kerosene Oil (SKO),43.25,litre,ogra,976
2017-02-16,Superior Kerosene Oil (SKO),43.25,litre,ogra,973
2017-03-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,972
2017-04-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,339
2017-05-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,338
2017-06-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,337
2017-07-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,2734
2017-08-06,Superior Kerosene Oil (SKO),44.0,litre,ogra,2745
2017-09-01,Superior Kerosene Oil (SKO),44.0,litre,ogra,2852
2017-10-01,Superior Kerosene Oil (SKO),48.0,litre,ogra,2929
2017-12-01,Superior Kerosene Oil (SKO),57.58,litre,ogra,3038
2018-01-01,Superior Kerosene Oil (SKO),64.32,litre,ogra,3185
2018-02-01,Superior Kerosene Oil (SKO),70.18,litre,ogra,3243
2018-03-01,Superior Kerosene Oil (SKO),76.46,litre,ogra,3297
2018-04-01,Superior Kerosene Oil (SKO),76.46,litre,ogra,3333
2018-06-01,Superior Kerosene Oil (SKO),79.88,litre,ogra,3583
2018-06-12,Superior Kerosene Oil (SKO),84.34,litre,ogra,3603
2018-07-01,Superior Kerosene Oil (SKO),87.7,litre,ogra,3647
2018-08-01,Superior Kerosene Oil (SKO),83.96,litre,ogra,3693
2018-09-01,Superior Kerosene Oil (SKO),83.5,litre,ogra,3717
2018-10-01,Superior Kerosene Oil (SKO),83.5,litre,ogra,3752
2018-11-01,Superior Kerosene Oil (SKO),86.5,litre,ogra,3792
2018-12-01,Superior Kerosene Oil (SKO),83.5,litre,ogra,3814
2019-02-01,Superior Kerosene Oil (SKO),82.31,litre,ogra,3927
2019-03-01,Superior Kerosene Oil (SKO),86.31,litre,ogra,3989
2019-04-01,Superior Kerosene Oil (SKO),89.31,litre,ogra,4035
2019-05-01,Superior Kerosene Oil (SKO),89.31,litre,ogra,4102
2019-05-05,Superior Kerosene Oil (SKO),96.77,litre,ogra,4107
2019-06-01,Superior Kerosene Oil (SKO),98.46,litre,ogra,4198
2019-07-01,Superior Kerosene Oil (SKO),98.46,litre,ogra,4241
2019-08-01,Superior Kerosene Oil (SKO),103.84,litre,ogra,4268
2019-09-01,Superior Kerosene Oil (SKO),99.57,litre,ogra,4311
2019-10-01,Superior Kerosene Oil (SKO),99.57,litre,ogra,4361
2019-11-01,Superior Kerosene Oil (SKO),97.18,litre,ogra,4406
2019-12-01,Superior Kerosene Oil (SKO),96.35,litre,ogra,4445
2020-02-01,Superior Kerosene Oil (SKO),99.45,litre,ogra,4536
2020-03-01,Superior Kerosene Oil (SKO),92.45,litre,ogra,4583
2020-03-25,Superior Kerosene Oil (SKO),77.45,litre,ogra,4645
2020-05-01,Superior Kerosene Oil (SKO),47.44,litre,ogra,4688
2020-06-01,Superior Kerosene Oil (SKO),35.56,litre,ogra,4745
2020-06-26,Superior Kerosene Oil (SKO),59.32,litre,ogra,4785
2020-08-01,Superior Kerosene Oil (SKO),65.29,litre,ogra,4867
2020-09-01,Superior Kerosene Oil (SKO),65.29,litre,ogra,4901
2020-10-01,Superior Kerosene Oil (SKO),65.29,litre,ogra,4969
2020-10-16,Superior Kerosene Oil (SKO),65.29,litre,ogra,5015
2020-11-01,Superior Kerosene Oil (SKO),65.29,litre,ogra,5065
2020-12-16,Superior Kerosene Oil (SKO),70.29,litre,ogra,5232
2021-01-01,Superior Kerosene Oil (SKO),73.65,litre,ogra,5269
2021-01-16,Superior Kerosene Oil (SKO),76.65,litre,ogra,5335
2021-03-01,Superior Kerosene Oil (SKO),80.19,litre,ogra,5506
2021-04-01,Superior Kerosene Oil (SKO),82.06,litre,ogra,5638
2021-04-16,Superior Kerosene Oil (SKO),80.0,litre,ogra,5796
2021-05-01,Superior Kerosene Oil (SKO),80.0,litre,ogra,5918
2021-05-18,Superior Kerosene Oil (SKO),80.0,litre,ogra,5958
2021-06-01,Superior Kerosene Oil (SKO),80.0,litre,ogra,6017
2021-06-16,Superior Kerosene Oil (SKO),81.89,litre,ogra,6074
2021-07-01,Superior Kerosene Oil (SKO),85.75,litre,ogra,6125
2021-07-16,Superior Kerosene Oil (SKO),87.14,litre,ogra,6236
2021-08-01,Superior Kerosene Oil (SKO),87.49,litre,ogra,6282
2021-08-16,Superior Kerosene Oil (SKO),88.3,litre,ogra,6347
2021-09-01,Superior Kerosene Oil (SKO),86.8,litre,ogra,6390
2021-09-16,Superior Kerosene Oil (SKO),92.26,litre,ogra,6471
2021-10-01,Superior Kerosene Oil (SKO),99.31,litre,ogra,6532
2021-10-16,Superior Kerosene Oil (SKO),110.26,litre,ogra,6580
2021-11-01,Superior Kerosene Oil (SKO),110.26,litre,ogra,6690
2021-11-05,Superior Kerosene Oil (SKO),116.53,litre,ogra,6730
2021-11-16,Superior Kerosene Oil (SKO),116.53,litre,ogra,5126
2021-12-01,Superior Kerosene Oil (SKO),116.53,litre,ogra,6820
2021-12-16,Superior Kerosene Oil (SKO),109.53,litre,ogra,6875
2022-01-01,Superior Kerosene Oil (SKO),113.48,litre,ogra,7010
2022-01-16,Superior Kerosene Oil (SKO),116.48,litre,ogra,7123
2022-02-16,Superior Kerosene Oil (SKO),126.56,litre,ogra,7295
2022-03-01,Liquefied Petroleum Gas (LPG),233.79,kg,ogra,7367
2022-03-01,Superior Kerosene Oil (SKO),125.56,litre,ogra,7368
2022-03-16,Superior Kerosene Oil (SKO),125.56,litre,ogra,7432
2022-04-01,Liquefied Petroleum Gas (LPG),247.13,kg,ogra,7477
2022-04-01,Superior Kerosene Oil (SKO),125.56,litre,ogra,7472
2022-04-16,Superior Kerosene Oil (SKO),125.56,litre,ogra,7504
2022-05-01,Liquefied Petroleum Gas (LPG),231.85,kg,ogra,7561
2022-05-01,Superior Kerosene Oil (SKO),125.56,litre,ogra,7557
2022-05-16,Superior Kerosene Oil (SKO),125.56,litre,ogra,7664
2022-05-27,Superior Kerosene Oil (SKO),155.56,litre,ogra,7693
2022-06-01,Liquefied Petroleum Gas (LPG),218.76,kg,ogra,7720
2022-06-01,Superior Kerosene Oil (SKO),155.56,litre,ogra,7721
2022-06-03,Superior Kerosene Oil (SKO),181.94,litre,ogra,7749
2022-06-16,Superior Kerosene Oil (SKO),211.43,litre,ogra,7789
2022-07-01,Liquefied Petroleum Gas (LPG),220.42,kg,ogra,7850
2022-07-01,Superior Kerosene Oil (SKO),230.26,litre,ogra,7833
2022-07-15,Superior Kerosene Oil (SKO),196.45,litre,ogra,7880
2022-08-01,Liquefied Petroleum Gas (LPG),217.92,kg,ogra,7950
2022-08-01,Superior Kerosene Oil (SKO),201.07,litre,ogra,7935
2022-08-16,Superior Kerosene Oil (SKO),199.4,litre,ogra,8020
2022-09-01,Liquefied Petroleum Gas (LPG),211.55,kg,ogra,8078
2022-09-01,Superior Kerosene Oil (SKO),210.32,litre,ogra,8079
2022-10-01,Liquefied Petroleum Gas (LPG),201.21,kg,ogra,8165
2022-10-01,Superior Kerosene Oil (SKO),191.83,litre,ogra,8166
2022-11-01,Liquefied Petroleum Gas (LPG),204.17,kg,ogra,8300
2022-11-01,Superior Kerosene Oil (SKO),191.83,litre,ogra,8296
2022-11-16,Superior Kerosene Oil (SKO),191.83,litre,ogra,8362
2022-12-01,Liquefied Petroleum Gas (LPG),215.96,kg,ogra,8423
2022-12-01,Superior Kerosene Oil (SKO),181.83,litre,ogra,8418
2022-12-16,Superior Kerosene Oil (SKO),171.83,litre,ogra,8537
2023-01-01,Liquefied Petroleum Gas (LPG),204.36,kg,ogra,8591
2023-01-01,Superior Kerosene Oil (SKO),171.83,litre,ogra,8592
2023-02-01,Liquefied Petroleum Gas (LPG),263.95,kg,ogra,8722
2023-02-15,Liquefied Petroleum Gas (LPG),266.21,kg,ogra,8831
2023-02-16,Superior Kerosene Oil (SKO),202.73,litre,ogra,8833
